sample	phased_count	ground_truth_count	switch_error_rate_ALL_intersec	switch_error_rate_Largest_intersec
OEN-CYP-C6A298021	38967	38967	13.02	0.00
OEN-CYP-D6A8216	21013	21013	10.64	0.00
OEN-CYP-E6GG1SG	20506	20506	12.21	0.00
OEN-CYP-F6A8192	20500	20500	12.07	0.00
OEN-CYP-G6A50165	20803	20803	12.09	22.22
OEN-CYP-H6A8294	23142	23142	11.42	0.88
Oenhismel_black	59467	59467	15.39	13.38
OENPLE-RU-AST-1907-ROM52877	22687	22687	6.03	0.00
Oenple_white	47420	47420	18.97	21.25
RO-CHE-2017-001	38696	38696	1.94	0.00
RO-CHE-2017-002	35014	35014	3.05	0.00
RO-CHE-2019-004	44908	44908	1.08	14.47
RO-CHE-2019-005	43236	43236	1.59	19.12
RO-CHE-2019-006	40652	40652	1.69	11.76
RO-CHE-2019-008	53746	53746	3.30	13.89
RO-CHE-2019-009	39155	39155	1.60	24.00
RO-CHE-2022-030	51131	51131	1.20	2.94
RO-HAR-2021-001	42518	42518	0.74	4.08
RO-HAR-2021-002	45308	45308	1.01	0.78
RO-SIT-2019-010	33496	33496	2.07	19.67
RO-SIT-2019-011	42236	42236	1.75	15.94
RO-SIT-2019-012	42612	42612	1.15	0.00
RO-SIT-2019-014	37417	37417	1.87	19.05
RO-SIT-2019-015	37598	37598	1.96	4.44
RO-SIT-2021-001	49323	49323	0.69	15.62
RO-SIT-2021-002	47540	47540	0.59	23.29
RO-SIT-2021-003	47386	47386	0.49	9.26
RO-SIT-2021-004	43375	43375	0.55	12.73
RO-SIT-2021-005	49928	49928	0.47	0.00
RO-SIT-2021-006	44722	44722	0.63	15.00
RO-SIT-2021-007	45713	45713	0.86	0.00
RO-SIT-2021-008	48572	48572	0.35	17.28
RO-SIT-2021-009	41332	41332	0.78	17.19
RO-SIT-2021-010	50010	50010	0.35	0.00
RO-SIT-2021-011	41010	41010	0.69	3.91
RO-SIT-2021-012	46311	46311	0.40	8.22
RO-SIT-2021-013	48374	48374	0.58	23.44
RO-SIT-2021-014	49080	49080	1.49	22.39
RO-SIT-2021-015	48270	48270	0.59	18.31
RO-SIT-2021-016	43862	43862	0.98	22.00
RO-SIT-2021-017	39872	39872	0.53	0.00
RO-SIT-2021-018	51879	51879	0.99	12.50
RO-SIT-2021-019	48283	48283	0.73	2.50
RO-SIT-2021-020	43518	43518	0.43	21.43
RO-SIT-2021-021	46696	46696	0.39	20.55
RO-SIT-2021-022	47647	47647	0.83	2.13
